attack_first,defense_first,hp_first,name_first,sp_attack_first,sp_defense_first,attack_second,defense_second,hp_second,name_second,sp_attack_second,sp_defense_second,pokedex_number,winner_name
35,55,50,Silcoon,25,25,20,40,50,Azurill,20,40,298,Azurill
58,57,67,Dedenne,81,67,92,75,78,Hawlucha,74,63,701,Hawlucha
30,30,30,Sunkern,30,30,68,72,86,Pyroar,109,66,668,Pyroar
95,95,50,Hitmontop,35,110,72,72,101,Aromatisse,99,89,683,Aromatisse
100,100,100,Mew,100,100,60,60,90,Phanpy,40,40,151,Mew
63,52,54,Frogadier,83,56,70,92,68,Araquanid,50,132,657,Frogadier
75,55,75,Sunflora,105,85,65,60,130,Vaporeon,110,95,134,Vaporeon
70,65,80,Tentacruel,80,120,100,89,60,Scolipede,55,69,545,Scolipede
50,40,50,Swinub,30,30,120,98,72,Tsareena,50,98,763,Tsareena
85,125,50,Sableye,85,115,92,87,90,Nidoqueen,75,85,31,Nidoqueen
92,108,50,Spiritomb,92,108,155,109,95,Gyarados,70,130,130,Gyarados
92,75,78,Hawlucha,74,63,85,70,45,Pawniard,40,40,701,Hawlucha
150,40,65,Beedrill,15,80,30,32,40,Surskit,50,52,283,Surskit
100,100,100,Mew,100,100,70,80,90,Dewgong,70,95,151,Mew
50,70,60,Dustox,50,90,70,115,70,Magnezone,130,90,269,Dustox
120,98,72,Tsareena,50,98,145,88,70,Lucario,140,70,448,Lucario
110,65,160,Snorlax,65,110,30,41,38,Zigzagoon,30,41,263,Zigzagoon
80,90,110,Walrein,95,90,75,37,45,Magby,70,55,240,Magby
93,55,90,Pignite,70,55,100,60,60,Minior,100,60,499,Pignite
50,145,58,Cofagrigus,95,105,40,50,65,Duosion,125,60,563,Cofagrigus
5,5,100,Happiny,15,65,92,88,86,Malamar,68,75,687,Malamar
145,130,95,Salamence,120,90,65,45,76,Chatot,92,42,441,Chatot
59,58,59,Braixen,90,70,65,68,78,Florges,112,154,671,Florges
75,85,60,Starmie,100,85,40,90,20,Duskull,30,90,121,Starmie
55,90,60,Chandelure,145,90,120,95,71,Genesect,120,95,649,Genesect
30,30,40,Lotad,40,50,70,48,43,Phantump,50,60,270,Lotad
132,105,90,Abomasnow,132,105,50,62,50,Trubbish,40,62,568,Trubbish
110,95,95,Bouffalant,40,95,35,40,25,Wimpod,20,30,767,Wimpod
60,125,70,Omastar,115,70,50,90,40,Skorupi,30,55,139,Omastar
38,33,44,Helioptile,61,43,53,62,50,Mareanie,43,52,694,Helioptile
100,72,74,Carnivine,90,72,60,75,70,Lilligant,110,75,549,Lilligant
95,105,90,Ampharos,165,110,65,65,70,Delcatty,55,55,301,Delcatty
125,230,75,Steelix,55,95,50,80,100,Azumarill,60,80,184,Azumarill
65,55,75,Palpitoad,65,55,80,90,110,Walrein,95,90,536,Palpitoad
150,110,100,Swampert,95,110,130,100,80,Latios,160,120,381,Latios
60,110,65,Glaceon,130,95,50,70,60,Dustox,50,90,269,Dustox
120,90,77,Druddigon,60,90,60,60,60,Slakoth,35,35,287,Slakoth
30,35,40,Budew,50,70,65,60,130,Vaporeon,110,95,406,Budew
40,50,55,Frillish,65,85,100,85,95,Samurott,108,70,503,Samurott
78,103,54,Tirtouga,53,45,10,10,255,Blissey,75,135,242,Blissey
65,75,110,Reuniclus,125,85,10,10,255,Blissey,75,135,242,Blissey
60,60,60,Misdreavus,85,85,160,110,50,Diancie,160,110,200,Misdreavus
145,150,80,Metagross,105,110,65,60,65,Jolteon,110,95,376,Metagross
120,130,80,Golem,55,65,65,45,76,Chatot,92,42,441,Chatot
50,58,62,Litleo,73,54,145,90,89,Landorus,105,80,645,Landorus
165,95,68,Gallade,65,115,85,60,79,Bibarel,55,60,475,Gallade
100,123,80,Venusaur,122,120,82,95,57,Charjabug,55,75,737,Charjabug
